Barbour, WV, 4509, 1213, 302
Berkeley, WV, 28210, 12287, 2273
Boone, WV, 6483, 1783, 388
Braxton, WV, 3516, 1315, 232
Brooke, WV, 6574, 2549, 417
Cabell, WV, 19648, 11306, 1747
Calhoun, WV, 2023, 456, 125
Clay, WV, 2289, 566, 103
Doddridge, WV, 2347, 360, 119
Fayette, WV, 10263, 4246, 678
Gilmer, WV, 1889, 537, 102
Grant, WV, 4338, 510, 97
Greenbrier, WV, 9499, 3743, 742
Hampshire, WV, 6646, 1576, 335
Hancock, WV, 8870, 3247, 525
Hardy, WV, 4544, 1249, 229
Harrison, WV, 18687, 7675, 1506
Jackson, WV, 8959, 2648, 501
Jefferson, WV, 13144, 9458, 1405
Kanawha, WV, 43464, 27985, 3547
Lewis, WV, 5245, 1336, 304
Lincoln, WV, 5257, 1435, 296
Logan, WV, 9866, 2082, 367
Marion, WV, 14592, 6926, 1392
Marshall, WV, 9565, 2894, 624
Mason, WV, 7597, 2069, 449
McDowell, WV, 4614, 1429, 136
Mercer, WV, 17362, 4689, 868
Mineral, WV, 8957, 2019, 434
Mingo, WV, 7876, 1365, 228
Monongalia, WV, 18278, 14568, 2887
Monroe, WV, 4337, 1089, 244
Morgan, WV, 5718, 1568, 349
Nicholas, WV, 7169, 1821, 395
Ohio, WV, 11077, 5452, 1290
Pendleton, WV, 2388, 726, 98
Pleasants, WV, 2342, 620, 168
Pocahontas, WV, 2474, 924, 221
Preston, WV, 9501, 2462, 648
Putnam, WV, 17455, 5784, 1204
Raleigh, WV, 21835, 6362, 1114
Randolph, WV, 7583, 2724, 509
Ritchie, WV, 3376, 490, 174
Roane, WV, 3772, 1220, 242
Summers, WV, 3444, 1186, 217
Taylor, WV, 4701, 1483, 314
Tucker, WV, 2557, 750, 157
Tyler, WV, 2967, 505, 149
Upshur, WV, 6971, 1763, 446
Wayne, WV, 11077, 3334, 669
Webster, WV, 2284, 554, 117
Wetzel, WV, 4461, 1348, 382
Wirt, WV, 1903, 383, 124
Wood, WV, 25168, 8327, 1761
Wyoming, WV, 6527, 1061, 221
